wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,wing_high,wing_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
N,Y,C,N_Y_C.png,training,1,1,7,high,color,wing,tail,Y,B,N,T,H2,H1,I2,S,C,11,7_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
N,B,C,N_B_C.png,training,1,2,5,medium,color,wing,tail,Y,B,N,T,H2,L1,I2,S,C,11,5_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
N,Y,S,N_Y_S.png,training,1,3,6,high,color,wing,tail,Y,B,N,T,H2,H1,I1,S,C,11,6_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
T,B,C,T_B_C.png,training,1,4,2,low,color,wing,tail,Y,B,N,T,L2,L1,I2,S,C,11,2_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
N,B,S,N_B_S.png,training,1,5,6,medium,color,wing,tail,Y,B,N,T,H2,L1,I1,S,C,11,6_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
T,Y,S,T_Y_S.png,training,1,6,6,medium,color,wing,tail,Y,B,N,T,L2,H1,I1,S,C,11,6_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
T,B,S,T_B_S.png,training,1,7,3,low,color,wing,tail,Y,B,N,T,L2,L1,I1,S,C,11,3_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
T,Y,C,T_Y_C.png,training,1,8,7,medium,color,wing,tail,Y,B,N,T,L2,H1,I2,S,C,11,7_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
N,Y,C,N_Y_C.png,training,2,9,10,high,color,wing,tail,Y,B,N,T,H2,H1,I2,S,C,11,10_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
T,Y,C,T_Y_C.png,training,2,10,4,medium,color,wing,tail,Y,B,N,T,L2,H1,I2,S,C,11,4_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
T,Y,S,T_Y_S.png,training,2,11,3,medium,color,wing,tail,Y,B,N,T,L2,H1,I1,S,C,11,3_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
N,Y,S,N_Y_S.png,training,2,12,8,high,color,wing,tail,Y,B,N,T,H2,H1,I1,S,C,11,8_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
T,B,S,T_B_S.png,training,2,13,3,low,color,wing,tail,Y,B,N,T,L2,L1,I1,S,C,11,3_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
N,B,S,N_B_S.png,training,2,14,3,medium,color,wing,tail,Y,B,N,T,H2,L1,I1,S,C,11,3_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
T,B,C,T_B_C.png,training,2,15,2,low,color,wing,tail,Y,B,N,T,L2,L1,I2,S,C,11,2_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
N,B,C,N_B_C.png,training,2,16,2,medium,color,wing,tail,Y,B,N,T,H2,L1,I2,S,C,11,2_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
N,Y,C,N_Y_C.png,training,3,17,8,high,color,wing,tail,Y,B,N,T,H2,H1,I2,S,C,11,8_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
T,Y,S,T_Y_S.png,training,3,18,6,medium,color,wing,tail,Y,B,N,T,L2,H1,I1,S,C,11,6_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
T,B,C,T_B_C.png,training,3,19,2,low,color,wing,tail,Y,B,N,T,L2,L1,I2,S,C,11,2_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
T,B,S,T_B_S.png,training,3,20,4,low,color,wing,tail,Y,B,N,T,L2,L1,I1,S,C,11,4_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
N,B,S,N_B_S.png,training,3,21,7,medium,color,wing,tail,Y,B,N,T,H2,L1,I1,S,C,11,7_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
N,B,C,N_B_C.png,training,3,22,3,medium,color,wing,tail,Y,B,N,T,H2,L1,I2,S,C,11,3_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
T,Y,C,T_Y_C.png,training,3,23,5,medium,color,wing,tail,Y,B,N,T,L2,H1,I2,S,C,11,5_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
N,Y,S,N_Y_S.png,training,3,24,8,high,color,wing,tail,Y,B,N,T,H2,H1,I1,S,C,11,8_food.png,"Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png","medium,medium,high,medium,low,low,high,medium"
