wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,tail_high,tail_low,wing_rel,color_rel,tail_rel,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
N,Y,C,N_Y_C.png,training,1,1,5,low,color,tail,wing,B,Y,S,C,I2,L1,L2,T,N,92,5_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
N,B,C,N_B_C.png,training,1,2,3,medium,color,tail,wing,B,Y,S,C,I2,H1,L2,T,N,92,3_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
T,Y,C,T_Y_C.png,training,1,3,3,low,color,tail,wing,B,Y,S,C,I1,L1,L2,T,N,92,3_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
T,B,S,T_B_S.png,training,1,4,8,high,color,tail,wing,B,Y,S,C,I1,H1,H2,T,N,92,8_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
T,B,C,T_B_C.png,training,1,5,4,medium,color,tail,wing,B,Y,S,C,I1,H1,L2,T,N,92,4_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
N,B,S,N_B_S.png,training,1,6,5,high,color,tail,wing,B,Y,S,C,I2,H1,H2,T,N,92,5_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
T,Y,S,T_Y_S.png,training,1,7,9,medium,color,tail,wing,B,Y,S,C,I1,L1,H2,T,N,92,9_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
N,Y,S,N_Y_S.png,training,1,8,4,medium,color,tail,wing,B,Y,S,C,I2,L1,H2,T,N,92,4_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
T,Y,S,T_Y_S.png,training,2,9,6,medium,color,tail,wing,B,Y,S,C,I1,L1,H2,T,N,92,6_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
T,B,S,T_B_S.png,training,2,10,10,high,color,tail,wing,B,Y,S,C,I1,H1,H2,T,N,92,10_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
N,B,S,N_B_S.png,training,2,11,6,high,color,tail,wing,B,Y,S,C,I2,H1,H2,T,N,92,6_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
N,Y,S,N_Y_S.png,training,2,12,6,medium,color,tail,wing,B,Y,S,C,I2,L1,H2,T,N,92,6_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
N,Y,C,N_Y_C.png,training,2,13,3,low,color,tail,wing,B,Y,S,C,I2,L1,L2,T,N,92,3_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
T,B,C,T_B_C.png,training,2,14,6,medium,color,tail,wing,B,Y,S,C,I1,H1,L2,T,N,92,6_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
N,B,C,N_B_C.png,training,2,15,3,medium,color,tail,wing,B,Y,S,C,I2,H1,L2,T,N,92,3_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
T,Y,C,T_Y_C.png,training,2,16,2,low,color,tail,wing,B,Y,S,C,I1,L1,L2,T,N,92,2_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
T,B,C,T_B_C.png,training,3,17,6,medium,color,tail,wing,B,Y,S,C,I1,H1,L2,T,N,92,6_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
T,Y,S,T_Y_S.png,training,3,18,7,medium,color,tail,wing,B,Y,S,C,I1,L1,H2,T,N,92,7_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
N,Y,S,N_Y_S.png,training,3,19,7,medium,color,tail,wing,B,Y,S,C,I2,L1,H2,T,N,92,7_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
T,Y,C,T_Y_C.png,training,3,20,1,low,color,tail,wing,B,Y,S,C,I1,L1,L2,T,N,92,1_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
N,B,C,N_B_C.png,training,3,21,7,medium,color,tail,wing,B,Y,S,C,I2,H1,L2,T,N,92,7_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_B_C.png","medium,low,medium,low,high,high,medium,medium"
