wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,wing_high,wing_low,wing_rel,color_rel,tail_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
T,Y,S,T_Y_S.png,training,1,1,5,medium,tail,wing,color,C,S,T,N,H2,I1,L1,Y,B,17,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
T,B,S,T_B_S.png,training,1,2,4,medium,tail,wing,color,C,S,T,N,H2,I2,L1,Y,B,17,4_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
N,Y,C,N_Y_C.png,training,1,3,5,medium,tail,wing,color,C,S,T,N,L2,I1,H1,Y,B,17,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
T,B,C,T_B_C.png,training,1,4,7,high,tail,wing,color,C,S,T,N,H2,I2,H1,Y,B,17,7_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
T,Y,C,T_Y_C.png,training,1,5,10,high,tail,wing,color,C,S,T,N,H2,I1,H1,Y,B,17,10_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
N,B,C,N_B_C.png,training,1,6,3,medium,tail,wing,color,C,S,T,N,L2,I2,H1,Y,B,17,3_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
N,B,S,N_B_S.png,training,1,7,4,low,tail,wing,color,C,S,T,N,L2,I2,L1,Y,B,17,4_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
N,Y,S,N_Y_S.png,training,1,8,4,low,tail,wing,color,C,S,T,N,L2,I1,L1,Y,B,17,4_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
N,B,S,N_B_S.png,training,2,9,4,low,tail,wing,color,C,S,T,N,L2,I2,L1,Y,B,17,4_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
N,B,C,N_B_C.png,training,2,10,4,medium,tail,wing,color,C,S,T,N,L2,I2,H1,Y,B,17,4_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
T,B,C,T_B_C.png,training,2,11,5,high,tail,wing,color,C,S,T,N,H2,I2,H1,Y,B,17,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
N,Y,S,N_Y_S.png,training,2,12,3,low,tail,wing,color,C,S,T,N,L2,I1,L1,Y,B,17,3_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
T,Y,C,T_Y_C.png,training,2,13,7,high,tail,wing,color,C,S,T,N,H2,I1,H1,Y,B,17,7_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
T,B,S,T_B_S.png,training,2,14,5,medium,tail,wing,color,C,S,T,N,H2,I2,L1,Y,B,17,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
T,Y,S,T_Y_S.png,training,2,15,4,medium,tail,wing,color,C,S,T,N,H2,I1,L1,Y,B,17,4_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
N,Y,C,N_Y_C.png,training,2,16,4,medium,tail,wing,color,C,S,T,N,L2,I1,H1,Y,B,17,4_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
N,Y,C,N_Y_C.png,training,3,17,5,medium,tail,wing,color,C,S,T,N,L2,I1,H1,Y,B,17,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
N,B,S,N_B_S.png,training,3,18,3,low,tail,wing,color,C,S,T,N,L2,I2,L1,Y,B,17,3_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
T,Y,S,T_Y_S.png,training,3,19,5,medium,tail,wing,color,C,S,T,N,H2,I1,L1,Y,B,17,5_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
T,Y,C,T_Y_C.png,training,3,20,9,high,tail,wing,color,C,S,T,N,H2,I1,H1,Y,B,17,9_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
T,B,C,T_B_C.png,training,3,21,10,high,tail,wing,color,C,S,T,N,H2,I2,H1,Y,B,17,10_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
T,B,S,T_B_S.png,training,3,22,3,medium,tail,wing,color,C,S,T,N,H2,I2,L1,Y,B,17,3_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
N,B,C,N_B_C.png,training,3,23,4,medium,tail,wing,color,C,S,T,N,L2,I2,H1,Y,B,17,4_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
N,Y,S,N_Y_S.png,training,3,24,4,low,tail,wing,color,C,S,T,N,L2,I1,L1,Y,B,17,4_food.png,"Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_C.png","low,high,medium,medium,low,medium,high,medium"
