wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,tail_high,tail_low,wing_rel,color_rel,tail_rel,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
T,B,C,T_B_C.png,training,1,1,7,medium,color,tail,wing,B,Y,S,C,I2,H1,L2,T,N,70,7_food.png,"Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,low,medium,medium,medium,medium,high,low"
N,B,S,N_B_S.png,training,1,2,7,high,color,tail,wing,B,Y,S,C,I1,H1,H2,T,N,70,7_food.png,"Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,low,medium,medium,medium,medium,high,low"
T,Y,S,T_Y_S.png,training,1,3,5,medium,color,tail,wing,B,Y,S,C,I2,L1,H2,T,N,70,5_food.png,"Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,low,medium,medium,medium,medium,high,low"
T,Y,C,T_Y_C.png,training,1,4,2,low,color,tail,wing,B,Y,S,C,I2,L1,L2,T,N,70,2_food.png,"Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,low,medium,medium,medium,medium,high,low"
N,Y,C,N_Y_C.png,training,1,5,2,low,color,tail,wing,B,Y,S,C,I1,L1,L2,T,N,70,2_food.png,"Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,low,medium,medium,medium,medium,high,low"
T,B,S,T_B_S.png,training,1,6,8,high,color,tail,wing,B,Y,S,C,I2,H1,H2,T,N,70,8_food.png,"Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,low,medium,medium,medium,medium,high,low"
N,B,C,N_B_C.png,training,1,7,4,medium,color,tail,wing,B,Y,S,C,I1,H1,L2,T,N,70,4_food.png,"Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,low,medium,medium,medium,medium,high,low"
N,Y,S,N_Y_S.png,training,1,8,3,medium,color,tail,wing,B,Y,S,C,I1,L1,H2,T,N,70,3_food.png,"Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,low,medium,medium,medium,medium,high,low"
T,Y,S,T_Y_S.png,training,2,9,5,medium,color,tail,wing,B,Y,S,C,I2,L1,H2,T,N,70,5_food.png,"Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,low,medium,medium,medium,medium,high,low"
T,Y,C,T_Y_C.png,training,2,10,1,low,color,tail,wing,B,Y,S,C,I2,L1,L2,T,N,70,1_food.png,"Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,low,medium,medium,medium,medium,high,low"
