wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,color_high,color_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
N,B,S,N_B_S.png,training,1,1,4,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,C,S,175,4_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
N,Y,C,N_Y_C.png,training,1,2,8,high,wing,color,tail,N,T,Y,B,H1,H2,I1,C,S,175,8_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
N,B,C,N_B_C.png,training,1,3,8,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,C,S,175,8_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
T,Y,S,T_Y_S.png,training,1,4,6,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,C,S,175,6_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
T,B,C,T_B_C.png,training,1,5,4,low,wing,color,tail,N,T,Y,B,L1,L2,I1,C,S,175,4_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
N,Y,S,N_Y_S.png,training,1,6,6,high,wing,color,tail,N,T,Y,B,H1,H2,I2,C,S,175,6_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
T,Y,C,T_Y_C.png,training,1,7,7,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,C,S,175,7_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
T,B,S,T_B_S.png,training,1,8,2,low,wing,color,tail,N,T,Y,B,L1,L2,I2,C,S,175,2_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
N,Y,S,N_Y_S.png,training,2,9,8,high,wing,color,tail,N,T,Y,B,H1,H2,I2,C,S,175,8_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
N,B,S,N_B_S.png,training,2,10,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,C,S,175,5_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
T,Y,C,T_Y_C.png,training,2,11,4,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,C,S,175,4_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
N,Y,C,N_Y_C.png,training,2,12,7,high,wing,color,tail,N,T,Y,B,H1,H2,I1,C,S,175,7_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
T,B,S,T_B_S.png,training,2,13,3,low,wing,color,tail,N,T,Y,B,L1,L2,I2,C,S,175,3_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
T,B,C,T_B_C.png,training,2,14,2,low,wing,color,tail,N,T,Y,B,L1,L2,I1,C,S,175,2_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
T,Y,S,T_Y_S.png,training,2,15,4,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,C,S,175,4_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
N,B,C,N_B_C.png,training,2,16,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,C,S,175,5_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
T,B,S,T_B_S.png,training,3,17,3,low,wing,color,tail,N,T,Y,B,L1,L2,I2,C,S,175,3_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
T,B,C,T_B_C.png,training,3,18,2,low,wing,color,tail,N,T,Y,B,L1,L2,I1,C,S,175,2_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
N,B,S,N_B_S.png,training,3,19,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,C,S,175,5_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
T,Y,S,T_Y_S.png,training,3,20,4,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,C,S,175,4_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
N,Y,C,N_Y_C.png,training,3,21,7,high,wing,color,tail,N,T,Y,B,H1,H2,I1,C,S,175,7_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
N,B,C,N_B_C.png,training,3,22,6,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,C,S,175,6_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
N,Y,S,N_Y_S.png,training,3,23,8,high,wing,color,tail,N,T,Y,B,H1,H2,I2,C,S,175,8_food.png,"Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_Y_C.png","low,medium,high,medium,medium,high,low,medium"
