wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,wing_high,wing_low,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
T,Y,T_Y.png,training,1,1,4,high,wing,color,T,N,B,Y,69,4_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_S.png","high,low,high,high,low,high,low,low"
N,B,N_B.png,training,1,2,2,low,wing,color,T,N,B,Y,69,2_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_S.png","high,low,high,high,low,high,low,low"
T,B,T_B.png,training,1,3,7,high,wing,color,T,N,B,Y,69,7_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_S.png","high,low,high,high,low,high,low,low"
N,Y,N_Y.png,training,1,4,1,low,wing,color,T,N,B,Y,69,1_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_S.png","high,low,high,high,low,high,low,low"
N,Y,N_Y.png,training,2,5,1,low,wing,color,T,N,B,Y,69,1_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_S.png","high,low,high,high,low,high,low,low"
T,Y,T_Y.png,training,2,6,4,high,wing,color,T,N,B,Y,69,4_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_S.png","high,low,high,high,low,high,low,low"
T,B,T_B.png,training,2,7,3,high,wing,color,T,N,B,Y,69,3_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_S.png","high,low,high,high,low,high,low,low"
N,B,N_B.png,training,2,8,2,low,wing,color,T,N,B,Y,69,2_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_S.png","high,low,high,high,low,high,low,low"
T,B,T_B.png,training,3,9,5,high,wing,color,T,N,B,Y,69,5_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_S.png","high,low,high,high,low,high,low,low"
N,B,N_B.png,training,3,10,1,low,wing,color,T,N,B,Y,69,1_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_S.png","high,low,high,high,low,high,low,low"
T,Y,T_Y.png,training,3,11,5,high,wing,color,T,N,B,Y,69,5_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_S.png","high,low,high,high,low,high,low,low"
N,Y,N_Y.png,training,3,12,2,low,wing,color,T,N,B,Y,69,2_food.png,"Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/N_B_S.png","high,low,high,high,low,high,low,low"
