wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,tail_high,tail_low,wing_rel,color_rel,tail_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
N,Y,C,N_Y_C.png,training,1,1,7,medium,wing,tail,color,T,N,C,S,L1,I2,H2,Y,B,213,7_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
T,B,C,T_B_C.png,training,1,2,6,high,wing,tail,color,T,N,C,S,H1,I1,H2,Y,B,213,6_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
T,Y,C,T_Y_C.png,training,1,3,5,high,wing,tail,color,T,N,C,S,H1,I2,H2,Y,B,213,5_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
N,B,C,N_B_C.png,training,1,4,7,medium,wing,tail,color,T,N,C,S,L1,I1,H2,Y,B,213,7_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
N,B,S,N_B_S.png,training,1,5,3,low,wing,tail,color,T,N,C,S,L1,I1,L2,Y,B,213,3_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
T,Y,S,T_Y_S.png,training,1,6,4,medium,wing,tail,color,T,N,C,S,H1,I2,L2,Y,B,213,4_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
N,Y,S,N_Y_S.png,training,1,7,2,low,wing,tail,color,T,N,C,S,L1,I2,L2,Y,B,213,2_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
T,B,S,T_B_S.png,training,1,8,4,medium,wing,tail,color,T,N,C,S,H1,I1,L2,Y,B,213,4_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
N,B,S,N_B_S.png,training,2,9,4,low,wing,tail,color,T,N,C,S,L1,I1,L2,Y,B,213,4_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
T,Y,S,T_Y_S.png,training,2,10,5,medium,wing,tail,color,T,N,C,S,H1,I2,L2,Y,B,213,5_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
N,Y,S,N_Y_S.png,training,2,11,5,low,wing,tail,color,T,N,C,S,L1,I2,L2,Y,B,213,5_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
T,B,C,T_B_C.png,training,2,12,4,high,wing,tail,color,T,N,C,S,H1,I1,H2,Y,B,213,4_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
N,B,C,N_B_C.png,training,2,13,5,medium,wing,tail,color,T,N,C,S,L1,I1,H2,Y,B,213,5_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
T,B,S,T_B_S.png,training,2,14,5,medium,wing,tail,color,T,N,C,S,H1,I1,L2,Y,B,213,5_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
T,Y,C,T_Y_C.png,training,2,15,9,high,wing,tail,color,T,N,C,S,H1,I2,H2,Y,B,213,9_food.png,"Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,high,low,medium,medium,high,low,medium"
